ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
45642526,312370.5,1486,HONDA,FIT,2010,Hatchback,No,Hybrid,1.3,158000 km,4,Automatic,Front,4-May,Right-hand drive,Black,4
45801668,793521.5,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,103490 km,4,Automatic,Front,4-May,Left wheel,Silver,4
45661296,13031,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,382746 km,6,Automatic,4x4,4-May,Left wheel,Silver,12
45815051,1015173,751,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.4,203200 km,4,Automatic,Front,4-May,Left wheel,Blue,4
45797488,1897961,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,61057 km,4,Automatic,Front,4-May,Left wheel,Black,4
45667253,836847.5,650,VOLKSWAGEN,Jetta,2016,Sedan,Yes,Petrol,1.4 Turbo,11200 km,4,Tiptronic,Front,4-May,Left wheel,Black,8
45108412,885029,382,HYUNDAI,Sonata,2014,Sedan,Yes,Hybrid,2.4,141000 km,4,Tiptronic,Front,4-May,Left wheel,White,12
45810322,22783.5,1436,PORSCHE,Cayenne,2010,Jeep,Yes,Petrol,3.6,160259 km,6,Automatic,4x4,4-May,Left wheel,Silver,12
45769564,9130,1194,TOYOTA,Tacoma,2013,Jeep,Yes,Petrol,4,239342 km,6,Automatic,4x4,4-May,Left wheel,Silver,12
45726453,650761.5,503,TOYOTA,Prius C,2012,Hatchback,No,Hybrid,1.5,128000 km,4,Variator,Front,4-May,Left wheel,Sky blue,8
45732544,2298685,1017,HYUNDAI,Santa FE,2017,Jeep,Yes,Diesel,2,100734 km,4,Automatic,Front,4-May,Left wheel,Black,4
45811563,520576,-,TOYOTA,Aqua,2012,Hatchback,No,Hybrid,1.5,141500 km,4,Automatic,Front,4-May,Right-hand drive,Black,8
45699930,715833.5,-,FORD,Escape Hybrid,2008,Jeep,No,Hybrid,2.3,147000 km,4,Variator,4x4,4-May,Left wheel,White,8
45809839,1447893.5,891,HONDA,Civic,2016,Sedan,Yes,Petrol,2,87768 km,4,Automatic,Front,4-May,Left wheel,Blue,4
45767508,35773,1104,AUDI,Q7,2015,Jeep,Yes,Petrol,3,264014 km,6,Automatic,4x4,4-May,Left wheel,Black,0
45802148,605194.5,-,RENAULT,Megane 1.5CDI,2008,Sedan,No,Diesel,1.5 Turbo,132542 km,4,Manual,Front,4-May,Left wheel,White,10
45769316,16268,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,1600 km,4,Automatic,Rear,4-May,Left wheel,Black,12
44153312,1597750,639,AUDI,Q5,2014,Jeep,Yes,Petrol,2,87000 km,1,Tiptronic,4x4,4-May,Left wheel,White,12
45782169,364411.5,-,MERCEDES-BENZ,C 180,2001,Coupe,No,Petrol,2,260000 km,4,Manual,Rear,2-Mar,Left wheel,Blue,0
44316016,3615148,-,MERCEDES-BENZ,GLA 250,2019,Jeep,Yes,Petrol,2.0 Turbo,5323 km,4,Tiptronic,4x4,4-May,Left wheel,Grey,0
45641216,58556.5,629,NISSAN,Juke,2015,Jeep,Yes,Petrol,1.6,87112 km,4,Automatic,4x4,4-May,Left wheel,Black,0
45813399,16268,919,BMW,535,2012,Sedan,Yes,Petrol,3,204318 km,6,Automatic,Rear,4-May,Left wheel,Black,12
44679525,976121.5,781,CHEVROLET,Cruze LT,2018,Sedan,No,Petrol,1.4 Turbo,22000 km,4,Automatic,Front,4-May,Left wheel,Red,6
45418626,702802.5,530,FORD,Fusion,2013,Sedan,No,Petrol,1.6 Turbo,83000 km,4,Tiptronic,Front,4-May,Left wheel,Silver,8
45323316,429483.5,-,TOYOTA,VOXY,2007,Minivan,Yes,Petrol,2.4,170000 km,4,Automatic,Front,4-May,Right-hand drive,Black,6
45638910,299339.5,530,NISSAN,Juke,2013,Jeep,Yes,Petrol,1.6,312118 km,4,Automatic,Front,4-May,Left wheel,Black,0
45778144,221236.5,-,MERCEDES-BENZ,A 160,2004,Sedan,No,Petrol,1.6,130000 km,4,Tiptronic,Front,4-May,Left wheel,Black,6
45803923,851829,640,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,2,200279 km,4,Automatic,Front,4-May,Left wheel,Grey,4
45803550,403463,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,719847 km,4,Automatic,Front,4-May,Left wheel,Orange,4
45802190,1438265.5,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,154672 km,4,Automatic,Front,4-May,Left wheel,Silver,4
45802203,1517406,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,110969 km,4,Automatic,Front,4-May,Left wheel,Black,4
45648175,13031,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,225510 km,4,Automatic,Front,4-May,Left wheel,White,12
45786421,227752,-,TOYOTA,Vitz,2001,Hatchback,No,Petrol,1.5,210000 km,4,Manual,Front,4-May,Right-hand drive,Sky blue,3
45802120,1247614.5,934,HYUNDAI,H1,2015,Universal,Yes,Diesel,2.5,148105 km,4,Automatic,Front,4-May,Left wheel,Silver,4
45809414,655700,769,CHEVROLET,Captiva,2011,Jeep,Yes,Diesel,2.2,255456 km,4,Automatic,Front,4-May,Left wheel,Silver,4
45797480,1824008,1249,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,111643 km,4,Automatic,Front,4-May,Left wheel,Grey,4
45732043,2205891,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,84506 km,4,Automatic,Front,4-May,Left wheel,Silver,4
45816646,611710,645,TOYOTA,Prius,2011,Hatchback,No,Hybrid,1.8,288000 km,4,Automatic,Front,4-May,Left wheel,White,8
45624039,1756985.5,-,FORD,Mustang,2016,Cabriolet,Yes,Petrol,2.3 Turbo,75000 km,4,Tiptronic,Rear,2-Mar,Left wheel,Silver,6
45814804,156164.5,1053,MERCEDES-BENZ,ML 350,2014,Jeep,Yes,Petrol,3.5,94362 km,6,Automatic,Rear,4-May,Left wheel,White,12
45787521,754843.5,-,TOYOTA,Prius,2012,Sedan,No,Petrol,1.8,175000 km,4,Automatic,Front,4-May,Left wheel,Silver,8
45759890,35773,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,263190 km,8,Automatic,4x4,4-May,Left wheel,White,0
45758167,9130,1185,FORD,Escape,2009,Jeep,Yes,Hybrid,2.5,193614 km,4,Automatic,Front,4-May,Left wheel,White,0
45648538,234267.5,1324,TOYOTA,Highlander,2010,Jeep,Yes,Hybrid,3.3,264877 km,6,Automatic,4x4,4-May,Left wheel,White,12
45757322,312370.5,830,TOYOTA,Yaris,2019,Sedan,Yes,Petrol,1.5,27656 km,4,Automatic,Front,4-May,Left wheel,White,12
45800993,911049.5,1187,HONDA,Civic,2014,Sedan,No,Hybrid,1.4,16000 km,8,Automatic,4x4,4-May,Right-hand drive,White,10
45765301,338391,-,HONDA,Cr-v,1998,Jeep,No,Petrol,2,0 km,4,Automatic,4x4,4-May,Right-hand drive,White,2
45771208,911049.5,781,TOYOTA,Camry,2012,Sedan,No,Petrol,2.5,195053 km,4,Automatic,Front,4-May,Left wheel,Black,0
45801684,793521.5,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,121362 km,4,Automatic,Front,4-May,Left wheel,Black,4
45732386,1496697.5,639,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2,69191 km,4,Automatic,Front,4-May,Left wheel,White,4
43892866,364411.5,1111,HONDA,FIT,2012,Hatchback,Yes,Hybrid,1.3,83000 km,4,Tiptronic,Front,4-May,Right-hand drive,Green,12
45810403,259250.5,760,CHEVROLET,Cruze,2010,Sedan,Yes,Petrol,1.8,40772 km,4,Automatic,Front,4-May,Left wheel,Black,4
45810513,675993.5,642,CHEVROLET,Orlando,2012,Jeep,Yes,Diesel,2,172000 km,4,Automatic,Front,4-May,Left wheel,Grey,4
45807330,3227662.5,1604,MERCEDES-BENZ,GL 63 AMG,2014,Jeep,Yes,Petrol,5.5,433811 km,8,Automatic,4x4,4-May,Left wheel,Black,10
45733554,117113,-,BMW,520 Vanos,1995,Sedan,Yes,Petrol,2,350000 km,6,Manual,Rear,4-May,Left wheel,Blue,2
45769914,22783.5,781,SUBARU,Forester,2012,Jeep,Yes,Petrol,2.5,148213 km,4,Automatic,4x4,4-May,Left wheel,Blue,0
45744824,289711.5,1095,DAEWOO,Lacetti,2008,Sedan,Yes,Petrol,2,103246 km,4,Automatic,Front,4-May,Left wheel,Black,4
45792882,1132286,891,HYUNDAI,Elantra,2016,Sedan,No,Petrol,2,105394 km,4,Tiptronic,Front,4-May,Left wheel,Black,12
45330228,1366553.5,-,BMW,428 Sport Line,2013,Coupe,Yes,Petrol,2.0 Turbo,160000 km,4,Automatic,Rear,2-Mar,Left wheel,Black,12
45776745,780905.5,-,NISSAN,Patrol,1990,Jeep,No,Diesel,2.8 Turbo,333333 km,4,Manual,Rear,4-May,Left wheel,Black,0
45749534,175711,-,HONDA,Civic,1997,Hatchback,Yes,Petrol,1.4,0 km,4,Manual,Front,2-Mar,Left wheel,Blue,6
45789555,624699.5,-,MERCEDES-BENZ,E 320,2004,Sedan,Yes,Petrol,3.2,214000 km,6,Tiptronic,Rear,4-May,Left wheel,Grey,8
45797276,641507,966,HYUNDAI,Genesis,2009,Coupe,Yes,Petrol,2,123346 km,4,Automatic,Front,4-May,Left wheel,Black,4
45809760,120391.5,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,80827 km,4,Automatic,Front,4-May,Left wheel,Green,12
45810325,29299,1138,PORSCHE,911,2013,Coupe,Yes,Petrol,3.8,64464 km,6,Automatic,Rear,2-Mar,Left wheel,Black,12
45813375,13031,382,FORD,Fusion,2015,Sedan,Yes,Hybrid,2,91760 km,4,Automatic,Front,4-May,Left wheel,Black,12
45756975,650761.5,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,275240 km,8,Automatic,4x4,4-May,Left wheel,Silver,0
45776758,1106265.5,-,MERCEDES-BENZ,Sprinter,2004,Microbus,No,Diesel,2.2 Turbo,300000 km,4,Manual,Rear,4-May,Left wheel,White,1
45550733,442514.5,988,TOYOTA,Prius,2007,Hatchback,No,Petrol,1.5,318400 km,4,Automatic,Front,4-May,Left wheel,Silver,6
44094036,533607,765,FORD,Focus SE,2015,Sedan,No,Petrol,2,91200 km,4,Automatic,Front,4-May,Left wheel,Sky blue,10
45642797,42288.5,917,BMW,X5,2013,Jeep,Yes,Diesel,3,137802 km,6,Automatic,4x4,4-May,Left wheel,Black,12
45760895,22783.5,917,BMW,535,2013,Sedan,Yes,Hybrid,3,151586 km,6,Automatic,Rear,4-May,Left wheel,White,12
45742789,533607,-,KIA,Picanto,2016,Hatchback,No,Petrol,1.2,107000 km,4,Manual,Front,4-May,Left wheel,Silver,2
45783859,622500,-,BMW,328,2008,Sedan,Yes,CNG,3,210408 km,6,Tiptronic,Rear,4-May,Left wheel,White,12
45808992,3550449.5,1156,FORD,Explorer,2017,Jeep,Yes,Petrol,2.3,100567 km,4,Automatic,Front,4-May,Left wheel,Black,4
45731735,1857208,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,86000 km,4,Automatic,Front,4-May,Left wheel,Grey,4
45797948,712057,687,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,122740 km,4,Automatic,Front,4-May,Left wheel,White,4
45782067,507586.5,-,MITSUBISHI,Airtrek,2005,Jeep,No,LPG,2.4,144000 km,4,Tiptronic,4x4,4-May,Right-hand drive,White,16
45534351,494555.5,11714,MERCEDES-BENZ,E 500 AMG,2003,Sedan,Yes,Petrol,5,150000 km,12,Tiptronic,Rear,4-May,Right-hand drive,White,12
45753393,52041,-,MITSUBISHI,Lancer,1997,Sedan,No,Petrol,1.3,100000 km,4,Manual,Rear,4-May,Left wheel,Red,0
45624923,3901,-,HONDA,FIT,2003,Hatchback,No,Petrol,1.5,178000 km,4,Variator,Front,4-May,Right-hand drive,Silver,4
45726679,1062026.5,640,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2,85704 km,4,Automatic,Front,4-May,Left wheel,Silver,4
45803059,618225.5,836,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2,58962 km,4,Automatic,Front,4-May,Left wheel,White,4
45770405,976121.5,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,90000 km,4,Tiptronic,Front,4-May,Left wheel,White,12
45787329,143175,-,RENAULT,Clio,1995,Hatchback,No,Petrol,1.2,50000 km,3,Manual,Front,2-Mar,Left wheel,Green,0
45763505,29299,777,MAZDA,616,2014,Sedan,Yes,Petrol,2.5,0 km,4,Automatic,Front,4-May,Left wheel,Red,12
45767451,42288.5,1537,TOYOTA,Highlander,2009,Sedan,Yes,Hybrid,3.3,318358 km,6,Automatic,4x4,4-May,Left wheel,Black,12
45636958,702802.5,765,FORD,Fusion,2015,Sedan,Yes,Petrol,2,71454 km,4,Automatic,Front,4-May,Left wheel,Black,0
45757670,806926,781,TOYOTA,Camry,2012,Sedan,Yes,Petrol,2.5,0 km,4,Tiptronic,Front,4-May,Left wheel,Black,6
45733244,481566,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,346470 km,4,Automatic,Front,4-May,Left wheel,Silver,4
45802837,2156547.5,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,59515 km,4,Automatic,Front,4-May,Left wheel,Blue,4
45646428,29299,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,115312 km,4,Automatic,Front,4-May,Left wheel,Grey,12
45801896,390432,-,MERCEDES-BENZ,C 220,1999,Sedan,No,Diesel,2.2 Turbo,111111 km,4,Manual,Rear,4-May,Left wheel,Silver,4
45797732,553112,1347,HYUNDAI,H1,2008,Minivan,Yes,Diesel,2.5,74444 km,4,Automatic,Front,4-May,Left wheel,Yellow,4
45762683,741854,-,NISSAN,Serena,2012,Minivan,No,Petrol,2,143000 km,4,Tiptronic,Front,4-May,Right-hand drive,White,12
45767013,22783.5,2866,NISSAN,Maxima,2004,Sedan,Yes,Petrol,3.5,299709 km,6,Automatic,Front,4-May,Left wheel,Grey,12
45732074,832946.5,-,TOYOTA,RAV 4,2008,Jeep,No,Petrol,2.4,135000 km,4,Automatic,4x4,4-May,Left wheel,Silver,8
45731782,950101,862,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,124444 km,4,Automatic,Front,4-May,Left wheel,Yellow,4
45662111,120391.5,503,HONDA,Civic,2012,Sedan,Yes,Hybrid,1.5,146403 km,4,Automatic,Front,4-May,Left wheel,White,0
45766794,650761.5,-,MITSUBISHI,Pajero,1997,Jeep,No,Petrol,2.4,142000 km,4,Automatic,4x4,2-Mar,Left wheel,Blue,6
45764126,1652903.5,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821 km,8,Automatic,4x4,4-May,Left wheel,Black,0
45768549,29299,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,102907 km,8,Automatic,4x4,4-May,Left wheel,Black,0
44698379,774390,-,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,130000 km,4,Tiptronic,Front,4-May,Left wheel,Black,6
45770233,937070,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,50930 km,4,Automatic,Rear,4-May,Left wheel,Black,12
45803455,481566,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,264872 km,4,Automatic,Front,4-May,Left wheel,Silver,4
45760030,13031,259,CHEVROLET,Volt,2014,Hatchback,Yes,Hybrid,1.4,131893 km,4,Automatic,Front,4-May,Left wheel,Brown,0
45810339,227752,751,GMC,TERRAIN,2013,Jeep,Yes,Petrol,2.4,138958 km,4,Automatic,Front,4-May,Left wheel,Black,12
45759786,178450,-,MERCEDES-BENZ,208,1985,Universal,No,Diesel,2.5,1111111 km,4,Manual,Rear,4-May,Left wheel,Black,1
45642844,780905.5,609,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,2.5,35058 km,4,Automatic,Front,4-May,Left wheel,White,12
44921934,878513.5,697,HONDA,Hr-v EX,2015,Jeep,No,Petrol,1.8,33330 km,4,Automatic,4x4,4-May,Left wheel,Grey,8
45462592,377442.5,-,FIAT,500,2011,Coupe,No,Petrol,1.2,141000 km,4,Automatic,Front,2-Mar,Right-hand drive,Red,4
45634898,65072,639,VOLKSWAGEN,Jetta,2014,Sedan,Yes,Diesel,2,82392 km,4,Automatic,Front,4-May,Left wheel,Silver,12
45777114,130144,-,SUBARU,Legacy,2005,Goods wagon,No,Petrol,2.0 Turbo,180000 km,6,Tiptronic,4x4,4-May,Right-hand drive,Blue,6
45451626,741854,585,HYUNDAI,Elantra sport limited,2013,Sedan,Yes,Petrol,1.8,117920 km,4,Tiptronic,Front,4-May,Left wheel,Grey,12
45732976,468535,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,279787 km,4,Automatic,Front,4-May,Left wheel,Silver,4
44452971,1496697.5,1399,TOYOTA,Sienna,2010,Minivan,Yes,Petrol,3.5,227200 km,6,Tiptronic,Front,4-May,Left wheel,White,16
45648000,35773,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,130478 km,4,Automatic,Front,4-May,Left wheel,White,12
45796845,887892.5,781,HYUNDAI,H1,2012,Universal,Yes,Diesel,2.5,166144 km,4,Automatic,Front,4-May,Left wheel,Silver,4
45733140,650761.5,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,258706 km,4,Automatic,Front,4-May,Left wheel,Silver,4
45762282,26020.5,475,CHEVROLET,Volt,2012,Jeep,Yes,Hybrid,1.4,188419 km,4,Automatic,Front,4-May,Left wheel,Red,0
45810003,1662905,690,TOYOTA,Aqua,2016,Hatchback,Yes,Petrol,1.5,25807 km,4,Automatic,Front,4-May,Left wheel,Black,4
44875253,494555.5,-,MERCEDES-BENZ,A 170,2008,Hatchback,No,Petrol,1.7,180000 km,4,Automatic,Front,4-May,Left wheel,Golden,8
45807577,2993395,1079,LEXUS,NX 300,2018,Jeep,Yes,Petrol,2.0 Turbo,18918 km,4,Tiptronic,Front,4-May,Left wheel,Black,6
45729867,1490970.5,640,SSANGYONG,REXTON,2013,Jeep,Yes,Diesel,2,137267 km,4,Automatic,Front,4-May,Left wheel,Silver,4
45801397,871998,308,TOYOTA,Prius,2014,Sedan,No,Hybrid,1.8,160000 km,4,Automatic,4x4,4-May,Left wheel,White,4
45765622,871998,1823,TOYOTA,Tacoma,2018,Sedan,Yes,Petrol,3.5,27358 km,6,Automatic,Front,4-May,Left wheel,Grey,12
45781785,546638,1361,KIA,Carnival grand,2009,Minivan,Yes,Diesel,2.9,84176 km,4,Automatic,Front,4-May,Left wheel,White,6
45802035,648396,707,HYUNDAI,Genesis,2011,Coupe,Yes,Petrol,2,107005 km,4,Automatic,Front,4-May,Left wheel,Grey,4
45811318,188700.5,-,OPEL,Vectra,1997,Sedan,No,Petrol,1.6,15000 km,4,Manual,Front,4-May,Left wheel,Beige,2
45751101,227752,1273,INFINITI,QX60,2015,Jeep,Yes,Petrol,3.5,124154 km,6,Automatic,4x4,4-May,Left wheel,Black,12
45801611,830207.5,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,104997 km,4,Automatic,Front,4-May,Left wheel,White,4
45792460,1498565,924,VOLKSWAGEN,Passat,2017,Sedan,Yes,Petrol,1.8,27728 km,6,Tiptronic,Front,4-May,Left wheel,Silver,8
45798511,325360,-,MERCEDES-BENZ,E 240 E 240,1998,Sedan,Yes,Petrol,2.4,777777 km,6,Manual,Rear,4-May,Left wheel,Blue,4
45765057,19505,1077,MAZDA,1000,2019,Jeep,Yes,Petrol,2,11566 km,4,Automatic,4x4,4-May,Left wheel,Black,12
45782173,53950,-,AUDI,50,2018,Coupe,Yes,Petrol,0.5,4000 km,1,Tiptronic,Rear,>5,Right-hand drive,Blue,0
45802937,1821020,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,113700 km,4,Automatic,Front,4-May,Left wheel,Silver,4
45675386,1223378.5,584,MERCEDES-BENZ,C 250,2014,Sedan,Yes,Petrol,1.8 Turbo,69000 km,4,Tiptronic,Rear,4-May,Left wheel,Grey,8
45795520,715833.5,-,TOYOTA,Camry,2011,Sedan,Yes,Hybrid,2.5,152000 km,4,Variator,Front,4-May,Left wheel,White,12
45778720,390432,-,TOYOTA,Vitz funkargo,2003,Universal,No,Petrol,1.5,181926 km,4,Automatic,4x4,4-May,Right-hand drive,Silver,2
45802938,1834839.5,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,50255 km,4,Automatic,Front,4-May,Left wheel,Red,4
45801304,351380.5,2078,BMW,325,2001,Sedan,Yes,Petrol,2.5,252800 km,6,Manual,Rear,4-May,Left wheel,Grey,6
45808583,26020.5,915,AUDI,A6,2014,Sedan,Yes,Petrol,3,164488 km,6,Automatic,4x4,4-May,Left wheel,Silver,12
45395938,910925,831,FORD,Transit,2011,Goods wagon,No,Diesel,2.4 Turbo,125000 km,4,Manual,4x4,4-May,Left wheel,White,2
45810208,29299,475,FIAT,500,2012,Hatchback,Yes,Petrol,1.4,164574 km,4,Automatic,Front,4-May,Left wheel,Red,12
45766275,130144,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,156992 km,4,Automatic,Front,4-May,Left wheel,Black,12
45793851,143175,-,OPEL,Vectra,1995,Sedan,No,CNG,2,0 km,4,Manual,Front,4-May,Left wheel,White,2
45805913,390432,-,MITSUBISHI,Pajero,1998,Jeep,No,Petrol,3.5 Turbo,11000 km,6,Tiptronic,4x4,4-May,Right-hand drive,Silver,4
45793479,1307250,-,NISSAN,Pathfinder,2010,Jeep,Yes,LPG,4,90200 km,6,Tiptronic,4x4,4-May,Left wheel,Black,12
43390500,845977.5,-,MITSUBISHI,Delica,2005,Minivan,Yes,Petrol,3,184000 km,6,Automatic,4x4,4-May,Right-hand drive,White,12
